System,Model,Bigvul,Devign,Sard,Primevul,Combined
ShadowPatch (linevul),linevul,23.4%  (132q),69.9%  (71q),0.5%  (441q),34.2%  (106q),31.3%  (113q)
ShadowPatch (reveal),reveal,11.1%  (21q),31.8%  (51q),1.0%  (21q),1.1%  (21q),8.5%  (53q)
ShadowPatch (ivdetect),ivdetect,6.1%  (72q),17.1%  (36q),1.0%  (21q),1.3%  (91q),5.7%  (74q)
ShadowPatch (graphcodebert),graphcodebert,11.0%  (171q),37.0%  (133q),0.0%  (0q),19.8%  (136q),15.3%  (150q)
ALERT,linevul,11.5%  (248q),55.5%  (168q),0.0%  (163q),28.2%  (321q),21.4%  (234q)
ALERT,reveal,15.4%  (286q),63.6%  (217q),1.0%  (163q),11.5%  (402q),16.3%  (288q)
ALERT,ivdetect,6.4%  (335q),67.1%  (245q),2.9%  (162q),4.3%  (410q),16.3%  (306q)
ALERT,graphcodebert,6.0%  (262q),36.7%  (203q),0.0%  (163q),15.9%  (348q),14.8%  (255q)
Dead+Rename,linevul,0.0%  (2q),0.0%  (2q),0.0%  (2q),0.0%  (2q),0.0%  (2q)
Dead+Rename,reveal,2.9%  (2q),8.4%  (2q),0.5%  (2q),0.3%  (2q),1.4%  (2q)
Dead+Rename,ivdetect,0.5%  (2q),0.6%  (2q),0.5%  (2q),0.3%  (2q),0.3%  (2q)
Dead+Rename,graphcodebert,0.6%  (2q),1.6%  (2q),0.0%  (2q),3.0%  (2q),1.0%  (2q)
MHM,linevul,5.1%  (100q),25.9%  (100q),0.0%  (100q),9.3%  (100q),8.5%  (100q)
MHM,reveal,1.9%  (100q),14.0%  (100q),0.5%  (100q),1.4%  (100q),2.3%  (100q)
MHM,ivdetect,0.8%  (100q),13.3%  (100q),0.0%  (100q),0.3%  (100q),3.5%  (100q)
MHM,graphcodebert,2.3%  (100q),26.0%  (100q),0.0%  (100q),8.7%  (100q),9.2%  (100q)
Random,linevul,2.9%  (98q),17.3%  (86q),0.0%  (100q),6.6%  (95q),6.0%  (95q)
Random,reveal,11.1%  (89q),29.0%  (74q),1.0%  (99q),1.0%  (99q),7.3%  (93q)
Random,ivdetect,4.8%  (96q),14.6%  (88q),1.0%  (99q),0.3%  (100q),4.3%  (96q)
Random,graphcodebert,4.8%  (96q),20.9%  (85q),0.0%  (100q),11.7%  (91q),7.8%  (94q)
